row_id,date,country,store,product,num_sold,year,month,day,day_of_week
0,2015-01-01,Finland,KaggleMart,Kaggle Mug,329,2015,1,1,Thursday
1,2015-01-01,Finland,KaggleMart,Kaggle Hat,520,2015,1,1,Thursday
2,2015-01-01,Finland,KaggleMart,Kaggle Sticker,146,2015,1,1,Thursday
3,2015-01-01,Finland,KaggleRama,Kaggle Mug,572,2015,1,1,Thursday
4,2015-01-01,Finland,KaggleRama,Kaggle Hat,911,2015,1,1,Thursday
5,2015-01-01,Finland,KaggleRama,Kaggle Sticker,283,2015,1,1,Thursday
6,2015-01-01,Norway,KaggleMart,Kaggle Mug,526,2015,1,1,Thursday
7,2015-01-01,Norway,KaggleMart,Kaggle Hat,906,2015,1,1,Thursday
8,2015-01-01,Norway,KaggleMart,Kaggle Sticker,250,2015,1,1,Thursday
11,2015-01-01,Norway,KaggleRama,Kaggle Sticker,395,2015,1,1,Thursday
12,2015-01-01,Sweden,KaggleMart,Kaggle Mug,440,2015,1,1,Thursday
13,2015-01-01,Sweden,KaggleMart,Kaggle Hat,624,2015,1,1,Thursday
14,2015-01-01,Sweden,KaggleMart,Kaggle Sticker,175,2015,1,1,Thursday
15,2015-01-01,Sweden,KaggleRama,Kaggle Mug,706,2015,1,1,Thursday
17,2015-01-01,Sweden,KaggleRama,Kaggle Sticker,324,2015,1,1,Thursday
18,2015-01-02,Finland,KaggleMart,Kaggle Mug,318,2015,1,2,Friday
19,2015-01-02,Finland,KaggleMart,Kaggle Hat,493,2015,1,2,Friday
20,2015-01-02,Finland,KaggleMart,Kaggle Sticker,127,2015,1,2,Friday
21,2015-01-02,Finland,KaggleRama,Kaggle Mug,544,2015,1,2,Friday
22,2015-01-02,Finland,KaggleRama,Kaggle Hat,794,2015,1,2,Friday
23,2015-01-02,Finland,KaggleRama,Kaggle Sticker,249,2015,1,2,Friday
24,2015-01-02,Norway,KaggleMart,Kaggle Mug,538,2015,1,2,Friday
25,2015-01-02,Norway,KaggleMart,Kaggle Hat,845,2015,1,2,Friday
26,2015-01-02,Norway,KaggleMart,Kaggle Sticker,237,2015,1,2,Friday
27,2015-01-02,Norway,KaggleRama,Kaggle Mug,949,2015,1,2,Friday
29,2015-01-02,Norway,KaggleRama,Kaggle Sticker,415,2015,1,2,Friday
30,2015-01-02,Sweden,KaggleMart,Kaggle Mug,384,2015,1,2,Friday
31,2015-01-02,Sweden,KaggleMart,Kaggle Hat,572,2015,1,2,Friday
32,2015-01-02,Sweden,KaggleMart,Kaggle Sticker,155,2015,1,2,Friday
33,2015-01-02,Sweden,KaggleRama,Kaggle Mug,653,2015,1,2,Friday
35,2015-01-02,Sweden,KaggleRama,Kaggle Sticker,293,2015,1,2,Friday
36,2015-01-03,Finland,KaggleMart,Kaggle Mug,360,2015,1,3,Saturday
37,2015-01-03,Finland,KaggleMart,Kaggle Hat,535,2015,1,3,Saturday
38,2015-01-03,Finland,KaggleMart,Kaggle Sticker,141,2015,1,3,Saturday
39,2015-01-03,Finland,KaggleRama,Kaggle Mug,579,2015,1,3,Saturday
40,2015-01-03,Finland,KaggleRama,Kaggle Hat,843,2015,1,3,Saturday
41,2015-01-03,Finland,KaggleRama,Kaggle Sticker,265,2015,1,3,Saturday
42,2015-01-03,Norway,KaggleMart,Kaggle Mug,614,2015,1,3,Saturday
43,2015-01-03,Norway,KaggleMart,Kaggle Hat,930,2015,1,3,Saturday
44,2015-01-03,Norway,KaggleMart,Kaggle Sticker,254,2015,1,3,Saturday
47,2015-01-03,Norway,KaggleRama,Kaggle Sticker,451,2015,1,3,Saturday
48,2015-01-03,Sweden,KaggleMart,Kaggle Mug,420,2015,1,3,Saturday
49,2015-01-03,Sweden,KaggleMart,Kaggle Hat,630,2015,1,3,Saturday
50,2015-01-03,Sweden,KaggleMart,Kaggle Sticker,173,2015,1,3,Saturday
51,2015-01-03,Sweden,KaggleRama,Kaggle Mug,734,2015,1,3,Saturday
53,2015-01-03,Sweden,KaggleRama,Kaggle Sticker,319,2015,1,3,Saturday
54,2015-01-04,Finland,KaggleMart,Kaggle Mug,332,2015,1,4,Sunday
55,2015-01-04,Finland,KaggleMart,Kaggle Hat,544,2015,1,4,Sunday
56,2015-01-04,Finland,KaggleMart,Kaggle Sticker,125,2015,1,4,Sunday
57,2015-01-04,Finland,KaggleRama,Kaggle Mug,582,2015,1,4,Sunday
