day,month,year,country_encoded,store_encoded,product_encoded,num_sold,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_std_7
1,1,2015,1,0,0,906,526.0,283.0,911.0,572.0,146.0,520.0,329.0,469.57142857142856,248.44372746013474
1,1,2015,1,0,2,250,906.0,526.0,283.0,911.0,572.0,146.0,520.0,552.0,286.79086456859113
1,1,2015,1,1,2,395,250.0,906.0,526.0,283.0,911.0,572.0,146.0,513.4285714285714,309.10076951422445
1,1,2015,2,0,1,440,395.0,250.0,906.0,526.0,283.0,911.0,572.0,549.0,271.85290140073914
1,1,2015,2,0,0,624,440.0,395.0,250.0,906.0,526.0,283.0,911.0,530.1428571428571,274.5562653758658
1,1,2015,2,0,2,175,624.0,440.0,395.0,250.0,906.0,526.0,283.0,489.14285714285717,225.19504773375797
1,1,2015,2,1,1,706,175.0,624.0,440.0,395.0,250.0,906.0,526.0,473.7142857142857,244.54087203418186
1,1,2015,2,1,2,324,706.0,175.0,624.0,440.0,395.0,250.0,906.0,499.42857142857144,259.93451556296327
2,1,2015,0,0,1,318,324.0,706.0,175.0,624.0,440.0,395.0,250.0,416.2857142857143,192.56229666068617
2,1,2015,0,0,0,493,318.0,324.0,706.0,175.0,624.0,440.0,395.0,426.0,184.3140435958874
2,1,2015,0,0,2,127,493.0,318.0,324.0,706.0,175.0,624.0,440.0,440.0,185.28626500634098
2,1,2015,0,1,1,544,127.0,493.0,318.0,324.0,706.0,175.0,624.0,395.2857142857143,219.83305353966097
2,1,2015,0,1,0,794,544.0,127.0,493.0,318.0,324.0,706.0,175.0,383.85714285714283,207.7060652070843
2,1,2015,0,1,2,249,794.0,544.0,127.0,493.0,318.0,324.0,706.0,472.2857142857143,234.06175416309426
2,1,2015,1,0,1,538,249.0,794.0,544.0,127.0,493.0,318.0,324.0,407.0,221.4000903342183
2,1,2015,1,0,0,845,538.0,249.0,794.0,544.0,127.0,493.0,318.0,437.57142857142856,222.79950414581057
2,1,2015,1,0,2,237,845.0,538.0,249.0,794.0,544.0,127.0,493.0,512.8571428571429,261.3627291533286
2,1,2015,1,1,1,949,237.0,845.0,538.0,249.0,794.0,544.0,127.0,476.2857142857143,281.7219162494074
2,1,2015,1,1,2,415,949.0,237.0,845.0,538.0,249.0,794.0,544.0,593.7142857142857,283.17704372925095
2,1,2015,2,0,1,384,415.0,949.0,237.0,845.0,538.0,249.0,794.0,575.2857142857143,291.03992525981397
2,1,2015,2,0,0,572,384.0,415.0,949.0,237.0,845.0,538.0,249.0,516.7142857142857,280.7624822311048
2,1,2015,2,0,2,155,572.0,384.0,415.0,949.0,237.0,845.0,538.0,562.8571428571429,254.77011112728576
2,1,2015,2,1,1,653,155.0,572.0,384.0,415.0,949.0,237.0,845.0,508.14285714285717,298.39036432802175
2,1,2015,2,1,2,293,653.0,155.0,572.0,384.0,415.0,949.0,237.0,480.7142857142857,269.71139778518466
3,1,2015,0,0,1,360,293.0,653.0,155.0,572.0,384.0,415.0,949.0,488.7142857142857,261.997909842626
3,1,2015,0,0,0,535,360.0,293.0,653.0,155.0,572.0,384.0,415.0,404.57142857142856,166.83410636802975
3,1,2015,0,0,2,141,535.0,360.0,293.0,653.0,155.0,572.0,384.0,421.7142857142857,174.09165620989646
3,1,2015,0,1,1,579,141.0,535.0,360.0,293.0,653.0,155.0,572.0,387.0,204.44640699541128
3,1,2015,0,1,0,843,579.0,141.0,535.0,360.0,293.0,653.0,155.0,388.0,205.51642270144745
3,1,2015,0,1,2,265,843.0,579.0,141.0,535.0,360.0,293.0,653.0,486.2857142857143,237.53506006883444
3,1,2015,1,0,1,614,265.0,843.0,579.0,141.0,535.0,360.0,293.0,430.85714285714283,237.41835689448322
3,1,2015,1,0,0,930,614.0,265.0,843.0,579.0,141.0,535.0,360.0,476.7142857142857,237.35396512783348
3,1,2015,1,0,2,254,930.0,614.0,265.0,843.0,579.0,141.0,535.0,558.1428571428571,283.85819732830726
3,1,2015,1,1,2,451,254.0,930.0,614.0,265.0,843.0,579.0,141.0,518.0,306.6322444449268
3,1,2015,2,0,1,420,451.0,254.0,930.0,614.0,265.0,843.0,579.0,562.2857142857143,262.28846351915314
3,1,2015,2,0,0,630,420.0,451.0,254.0,930.0,614.0,265.0,843.0,539.5714285714286,267.43401500361244
3,1,2015,2,0,2,173,630.0,420.0,451.0,254.0,930.0,614.0,265.0,509.14285714285717,237.6106258646897
3,1,2015,2,1,1,734,173.0,630.0,420.0,451.0,254.0,930.0,614.0,496.0,255.25477468599883
3,1,2015,2,1,2,319,734.0,173.0,630.0,420.0,451.0,254.0,930.0,513.1428571428571,268.2016831735828
4,1,2015,0,0,1,332,319.0,734.0,173.0,630.0,420.0,451.0,254.0,425.85714285714283,200.90746507735736
4,1,2015,0,0,0,544,332.0,319.0,734.0,173.0,630.0,420.0,451.0,437.0,191.7411449498169
4,1,2015,0,0,2,125,544.0,332.0,319.0,734.0,173.0,630.0,420.0,450.2857142857143,196.04652023241354
4,1,2015,0,1,1,582,125.0,544.0,332.0,319.0,734.0,173.0,630.0,408.14285714285717,232.04412552459982
4,1,2015,0,1,0,873,582.0,125.0,544.0,332.0,319.0,734.0,173.0,401.2857142857143,224.99756612440234
4,1,2015,0,1,2,245,873.0,582.0,125.0,544.0,332.0,319.0,734.0,501.2857142857143,259.53273029665854
4,1,2015,1,0,1,589,245.0,873.0,582.0,125.0,544.0,332.0,319.0,431.42857142857144,252.16056864813817
4,1,2015,1,0,0,889,589.0,245.0,873.0,582.0,125.0,544.0,332.0,470.0,252.7462495600413
4,1,2015,1,0,2,255,889.0,589.0,245.0,873.0,582.0,125.0,544.0,549.5714285714286,287.36727785353776
4,1,2015,1,1,2,455,255.0,889.0,589.0,245.0,873.0,582.0,125.0,508.2857142857143,308.29894274103196
4,1,2015,2,0,1,406,455.0,255.0,889.0,589.0,245.0,873.0,582.0,555.4285714285714,261.6179511825448
4,1,2015,2,0,0,697,406.0,455.0,255.0,889.0,589.0,245.0,873.0,530.2857142857143,267.03976875221804
4,1,2015,2,0,2,169,697.0,406.0,455.0,255.0,889.0,589.0,245.0,505.14285714285717,235.8590176153462
4,1,2015,2,1,1,657,169.0,697.0,406.0,455.0,255.0,889.0,589.0,494.2857142857143,251.08744445293308
4,1,2015,2,1,2,300,657.0,169.0,697.0,406.0,455.0,255.0,889.0,504.0,256.61709478001137
5,1,2015,0,0,1,243,300.0,657.0,169.0,697.0,406.0,455.0,255.0,419.85714285714283,199.55987286311563
5,1,2015,0,0,0,378,243.0,300.0,657.0,169.0,697.0,406.0,455.0,418.14285714285717,201.25641072309443
5,1,2015,0,0,2,102,378.0,243.0,300.0,657.0,169.0,697.0,406.0,407.14285714285717,201.01030535060357
5,1,2015,0,1,1,423,102.0,378.0,243.0,300.0,657.0,169.0,697.0,363.7142857142857,231.7827389933041
5,1,2015,0,1,0,668,423.0,102.0,378.0,243.0,300.0,657.0,169.0,324.57142857142856,184.41335557460516
5,1,2015,0,1,2,187,668.0,423.0,102.0,378.0,243.0,300.0,657.0,395.85714285714283,209.0529666308108
5,1,2015,1,0,1,435,187.0,668.0,423.0,102.0,378.0,243.0,300.0,328.7142857142857,185.33187734953964
5,1,2015,1,0,0,671,435.0,187.0,668.0,423.0,102.0,378.0,243.0,348.0,188.83679020077994
5,1,2015,1,0,2,184,671.0,435.0,187.0,668.0,423.0,102.0,378.0,409.14285714285717,216.44508816435692
5,1,2015,1,1,1,739,184.0,671.0,435.0,187.0,668.0,423.0,102.0,381.42857142857144,232.89257691251652
5,1,2015,1,1,2,310,739.0,184.0,671.0,435.0,187.0,668.0,423.0,472.42857142857144,229.94336776900616
5,1,2015,2,0,1,298,310.0,739.0,184.0,671.0,435.0,187.0,668.0,456.2857142857143,237.82326371048063
5,1,2015,2,0,0,442,298.0,310.0,739.0,184.0,671.0,435.0,187.0,403.42857142857144,223.61936196943924
5,1,2015,2,0,2,127,442.0,298.0,310.0,739.0,184.0,671.0,435.0,439.85714285714283,202.2337167498937
5,1,2015,2,1,1,512,127.0,442.0,298.0,310.0,739.0,184.0,671.0,395.85714285714283,234.41233512156074
5,1,2015,2,1,0,796,512.0,127.0,442.0,298.0,310.0,739.0,184.0,373.14285714285717,209.70966324216656
5,1,2015,2,1,2,227,796.0,512.0,127.0,442.0,298.0,310.0,739.0,460.57142857142856,242.69175040426435
6,1,2015,0,0,1,223,227.0,796.0,512.0,127.0,442.0,298.0,310.0,387.42857142857144,220.97500397319249
6,1,2015,0,0,0,389,223.0,227.0,796.0,512.0,127.0,442.0,298.0,375.0,228.37834106295352
6,1,2015,0,0,2,99,389.0,223.0,227.0,796.0,512.0,127.0,442.0,388.0,225.84065178793665
6,1,2015,0,1,1,407,99.0,389.0,223.0,227.0,796.0,512.0,127.0,339.0,248.26800035445578
6,1,2015,0,1,0,636,407.0,99.0,389.0,223.0,227.0,796.0,512.0,379.0,230.32657973697565
6,1,2015,0,1,2,168,636.0,407.0,99.0,389.0,223.0,227.0,796.0,396.7142857142857,246.46346198825935
6,1,2015,1,0,1,402,168.0,636.0,407.0,99.0,389.0,223.0,227.0,307.0,183.03278394866877
6,1,2015,1,0,0,683,402.0,168.0,636.0,407.0,99.0,389.0,223.0,332.0,182.23428144378707
6,1,2015,1,0,2,181,683.0,402.0,168.0,636.0,407.0,99.0,389.0,397.7142857142857,216.15867187918113
6,1,2015,1,1,1,681,181.0,683.0,402.0,168.0,636.0,407.0,99.0,368.0,231.32084500393256
6,1,2015,1,1,2,306,681.0,181.0,683.0,402.0,168.0,636.0,407.0,451.14285714285717,222.96294802158553
6,1,2015,2,0,1,256,306.0,681.0,181.0,683.0,402.0,168.0,636.0,436.7142857142857,229.4687446296441
6,1,2015,2,0,0,411,256.0,306.0,681.0,181.0,683.0,402.0,168.0,382.42857142857144,219.18398446879988
6,1,2015,2,0,2,111,411.0,256.0,306.0,681.0,181.0,683.0,402.0,417.14285714285717,197.7586311402773
6,1,2015,2,1,1,471,111.0,411.0,256.0,306.0,681.0,181.0,683.0,375.57142857142856,229.5095184248773
6,1,2015,2,1,0,853,471.0,111.0,411.0,256.0,306.0,681.0,181.0,345.2857142857143,193.31383317093
6,1,2015,2,1,2,206,853.0,471.0,111.0,411.0,256.0,306.0,681.0,441.2857142857143,255.11220687226663
7,1,2015,0,0,1,229,206.0,853.0,471.0,111.0,411.0,256.0,306.0,373.42857142857144,243.63829552765122
7,1,2015,0,0,0,342,229.0,206.0,853.0,471.0,111.0,411.0,256.0,362.42857142857144,248.87202678140784
7,1,2015,0,0,2,91,342.0,229.0,206.0,853.0,471.0,111.0,411.0,374.7142857142857,244.83240137266313
7,1,2015,0,1,1,356,91.0,342.0,229.0,206.0,853.0,471.0,111.0,329.0,265.8965964430535
7,1,2015,0,1,0,576,356.0,91.0,342.0,229.0,206.0,853.0,471.0,364.0,247.93681990915897
7,1,2015,0,1,2,173,576.0,356.0,91.0,342.0,229.0,206.0,853.0,379.0,258.44277251776015
7,1,2015,1,0,1,371,173.0,576.0,356.0,91.0,342.0,229.0,206.0,281.85714285714283,159.4045467476056
7,1,2015,1,0,0,504,371.0,173.0,576.0,356.0,91.0,342.0,229.0,305.42857142857144,158.51483331522144
7,1,2015,1,0,2,149,504.0,371.0,173.0,576.0,356.0,91.0,342.0,344.7142857142857,170.07225355292815
7,1,2015,1,1,1,653,149.0,504.0,371.0,173.0,576.0,356.0,91.0,317.14285714285717,185.5275618081482
7,1,2015,1,1,2,262,653.0,149.0,504.0,371.0,173.0,576.0,356.0,397.42857142857144,192.81325779352528
7,1,2015,2,0,1,256,262.0,653.0,149.0,504.0,371.0,173.0,576.0,384.0,199.34225175143726
