row_id,date,country,store,product,num_sold,year,month,day,day_of_week,store_encoded,country_encoded,product_encoded
0,2015-01-01,Finland,KaggleMart,Kaggle Mug,329,2015,1,1,Thursday,0,0,1
1,2015-01-01,Finland,KaggleMart,Kaggle Hat,520,2015,1,1,Thursday,0,0,0
2,2015-01-01,Finland,KaggleMart,Kaggle Sticker,146,2015,1,1,Thursday,0,0,2
3,2015-01-01,Finland,KaggleRama,Kaggle Mug,572,2015,1,1,Thursday,1,0,1
4,2015-01-01,Finland,KaggleRama,Kaggle Hat,911,2015,1,1,Thursday,1,0,0
5,2015-01-01,Finland,KaggleRama,Kaggle Sticker,283,2015,1,1,Thursday,1,0,2
6,2015-01-01,Norway,KaggleMart,Kaggle Mug,526,2015,1,1,Thursday,0,1,1
7,2015-01-01,Norway,KaggleMart,Kaggle Hat,906,2015,1,1,Thursday,0,1,0
8,2015-01-01,Norway,KaggleMart,Kaggle Sticker,250,2015,1,1,Thursday,0,1,2
11,2015-01-01,Norway,KaggleRama,Kaggle Sticker,395,2015,1,1,Thursday,1,1,2
12,2015-01-01,Sweden,KaggleMart,Kaggle Mug,440,2015,1,1,Thursday,0,2,1
13,2015-01-01,Sweden,KaggleMart,Kaggle Hat,624,2015,1,1,Thursday,0,2,0
14,2015-01-01,Sweden,KaggleMart,Kaggle Sticker,175,2015,1,1,Thursday,0,2,2
15,2015-01-01,Sweden,KaggleRama,Kaggle Mug,706,2015,1,1,Thursday,1,2,1
17,2015-01-01,Sweden,KaggleRama,Kaggle Sticker,324,2015,1,1,Thursday,1,2,2
18,2015-01-02,Finland,KaggleMart,Kaggle Mug,318,2015,1,2,Friday,0,0,1
19,2015-01-02,Finland,KaggleMart,Kaggle Hat,493,2015,1,2,Friday,0,0,0
20,2015-01-02,Finland,KaggleMart,Kaggle Sticker,127,2015,1,2,Friday,0,0,2
21,2015-01-02,Finland,KaggleRama,Kaggle Mug,544,2015,1,2,Friday,1,0,1
22,2015-01-02,Finland,KaggleRama,Kaggle Hat,794,2015,1,2,Friday,1,0,0
23,2015-01-02,Finland,KaggleRama,Kaggle Sticker,249,2015,1,2,Friday,1,0,2
24,2015-01-02,Norway,KaggleMart,Kaggle Mug,538,2015,1,2,Friday,0,1,1
25,2015-01-02,Norway,KaggleMart,Kaggle Hat,845,2015,1,2,Friday,0,1,0
26,2015-01-02,Norway,KaggleMart,Kaggle Sticker,237,2015,1,2,Friday,0,1,2
27,2015-01-02,Norway,KaggleRama,Kaggle Mug,949,2015,1,2,Friday,1,1,1
29,2015-01-02,Norway,KaggleRama,Kaggle Sticker,415,2015,1,2,Friday,1,1,2
30,2015-01-02,Sweden,KaggleMart,Kaggle Mug,384,2015,1,2,Friday,0,2,1
31,2015-01-02,Sweden,KaggleMart,Kaggle Hat,572,2015,1,2,Friday,0,2,0
32,2015-01-02,Sweden,KaggleMart,Kaggle Sticker,155,2015,1,2,Friday,0,2,2
33,2015-01-02,Sweden,KaggleRama,Kaggle Mug,653,2015,1,2,Friday,1,2,1
35,2015-01-02,Sweden,KaggleRama,Kaggle Sticker,293,2015,1,2,Friday,1,2,2
36,2015-01-03,Finland,KaggleMart,Kaggle Mug,360,2015,1,3,Saturday,0,0,1
37,2015-01-03,Finland,KaggleMart,Kaggle Hat,535,2015,1,3,Saturday,0,0,0
38,2015-01-03,Finland,KaggleMart,Kaggle Sticker,141,2015,1,3,Saturday,0,0,2
39,2015-01-03,Finland,KaggleRama,Kaggle Mug,579,2015,1,3,Saturday,1,0,1
40,2015-01-03,Finland,KaggleRama,Kaggle Hat,843,2015,1,3,Saturday,1,0,0
41,2015-01-03,Finland,KaggleRama,Kaggle Sticker,265,2015,1,3,Saturday,1,0,2
42,2015-01-03,Norway,KaggleMart,Kaggle Mug,614,2015,1,3,Saturday,0,1,1
